id,song,type,actress,created_at,updated_at
1,玛丽亚,Unit,"53,56","2019-09-24 12:36:58","2019-09-27 12:27:15"
2,一体同心,Unit,"137,169","2019-09-24 12:37:54","2019-09-29 14:43:05"
3,重力,Solo,40,"2019-09-24 12:38:12","2019-10-07 02:53:35"
4,画,Solo,22,"2019-09-24 12:38:27","2019-09-27 12:31:45"
5,不秀钢,Unit,"70,111,43,146","2019-09-24 12:39:25","2019-10-07 04:21:30"
6,"Who I Am",Unit,"5,11","2019-09-24 12:58:49","2019-09-28 04:21:14"
7,夕阳下的约定,Unit,"7,12,14,18,24,30","2019-09-24 13:10:24","2019-09-27 12:50:56"
8,就差一点点,Unit,"7,14","2019-09-24 13:11:20","2019-09-27 14:36:49"
9,不安星,Unit,"7,12","2019-09-24 13:12:11","2019-09-27 12:51:33"
10,临兵斗者皆阵列在前,Unit,"86,149,88","2019-09-24 13:24:30","2019-09-27 12:52:47"
11,天使的圈套,Unit,"73,82","2019-09-24 13:24:58","2019-09-27 12:53:09"
12,最终回合,Unit,"35,106,178,135","2019-09-24 13:25:27","2019-09-27 12:53:38"
13,+-&美杜莎的温柔,Unit,"17,19","2019-09-24 13:25:51","2019-09-29 14:44:41"
14,Show,Unit,"48,123,119","2019-09-24 13:26:13","2019-09-27 12:54:24"
15,"Hold me tight",Unit,"24,30","2019-09-24 13:26:41","2019-09-27 12:54:47"
16,暗夜脚步声,Unit,"51,80,31,61","2019-09-24 13:28:13","2019-09-27 12:55:17"
17,凛,Unit,"45,49,165,146,32,142,176,130","2019-09-24 13:31:30","2019-09-29 14:44:16"
18,新世界,Unit,"41,36,52,127","2019-09-24 13:37:19","2019-09-27 14:56:16"
20,信念箭羽,Unit,"170,64,102","2019-09-24 13:38:59","2019-09-27 13:22:05"
21,Jelly,Unit,"15,172,99,39","2019-09-24 13:40:35","2019-09-29 14:43:47"
22,J'story,队歌,195,"2019-09-24 13:41:09","2019-09-27 13:03:20"
23,黑洞,Solo,59,"2019-09-24 13:42:02","2019-09-27 13:23:50"
24,占据,Unit,"5,14,92","2019-09-24 13:42:32","2019-09-27 13:16:35"
25,关不掉,Solo,6,"2019-09-24 14:19:39","2019-09-27 13:24:10"
26,粗心女孩,Unit,"169,134,58","2019-09-24 14:30:40","2019-09-27 13:24:38"
27,"Blue Rose",Unit,"158,159,184,186","2019-09-24 14:35:02","2019-10-31 01:20:37"
28,无罪无我,Unit,"57,109,147","2019-09-24 14:37:12","2019-09-27 13:28:26"
29,坐标,队歌,189,"2019-09-26 11:43:07","2019-09-27 13:02:45"
30,花之祭,队歌,190,"2019-09-26 11:43:22","2019-09-27 14:34:12"
31,异,队歌,194,"2019-09-26 11:43:37","2019-09-27 14:35:17"
33,"Miss Victoria",Solo,17,"2019-09-27 13:09:37","2019-09-27 14:36:06"
34,废墟纪元,Solo,19,"2019-09-27 13:14:12","2019-09-27 13:14:12"
35,塞壬,Unit,"75,145,104","2019-09-27 13:15:37","2019-09-27 13:15:37"
36,"My boy",Unit,"112,160","2019-09-27 13:18:49","2019-10-12 12:53:25"
37,"Nine to nine",Unit,"44,163","2019-09-27 13:20:11","2019-10-14 11:08:11"
39,不曾后悔,Unit,"68,74,133,136","2019-09-27 14:39:09","2019-09-27 14:39:09"
40,青涩的香蕉,Unit,"164,174","2019-09-27 14:56:57","2019-09-27 14:56:57"
41,"One life",Unit,"27,93,151,180","2019-09-28 03:41:13","2019-10-14 11:08:20"
42,如果你拥抱我,Unit,"42,89,140","2019-09-28 03:42:37","2019-09-28 03:42:37"
43,传颂之歌,Unit,"97,131,185,173","2019-09-28 03:43:55","2019-09-28 03:43:55"
44,"Fire Touch",Unit,"83,125,100,177","2019-09-28 03:45:01","2019-09-28 03:45:01"
45,暗羽,Unit,"101,155,156","2019-09-28 03:47:06","2019-10-11 12:28:06"
46,双行道,Unit,"55,79,85,103,126,129,162,188","2019-09-28 03:50:57","2019-10-13 03:10:53"
47,灵魂使者,Unit,"47,37,15,171","2019-09-28 03:54:17","2019-09-30 11:28:22"
48,猎梦,Unit,"38,141,148","2019-09-28 03:56:15","2019-10-26 11:36:54"
50,梦中的婚礼,Unit,"152,154","2019-09-29 14:47:35","2019-10-31 01:14:47"
54,夜行的黑猫,Unit,"10,96,124","2019-10-01 03:25:08","2019-10-01 03:25:08"
55,新航路,Solo,137,"2019-10-01 03:25:41","2019-10-01 03:25:41"
56,"Love Letter",Solo,18,"2019-10-01 03:27:02","2019-10-01 03:27:02"
57,未接来电,Unit,"9,63","2019-10-01 03:36:46","2019-10-23 11:58:44"
59,雪的约定,Solo,33,"2019-10-07 02:54:19","2019-10-07 02:54:19"
60,低烧,Unit,"163,170","2019-10-07 04:16:40","2019-10-14 11:08:29"
61,无声的探戈,Unit,"149,153","2019-10-10 11:59:20","2019-10-19 01:55:19"
62,做自己的主宰,队歌,196,"2019-10-13 03:07:37","2019-10-28 13:01:29"
63,"Z YOU AGAIN",队歌,198,"2019-10-31 01:15:51","2019-10-31 01:15:51"
64,"Feeling You",Solo,5,"2019-11-03 01:15:01","2019-11-03 01:15:01"
